ababa addis -1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
faire laissez -1	Yet everyone knew of the abuses which had grown , flourished and even became in this laissez faire prison system .
fairly clear 1	Here and there triadic chords ( in 7th or 9th form ) are fairly clear .
fairly close 1	Public schools , there are only three or four fairly close .
fairly common 1	Problems such as constipation , and indigestion are fairly common in pregnancy .
fairly easy 1	It should be stressed that these increases should not be attempted unless you are finding the original routine fairly easy .
fairly good 1	I think we should make sure we sweep the Selby drawings because they do include some fairly good stuff .
fairly high 1	Small pipe is offering a lot of resistance to the water so that 's a sort of fairly high resistance .
fairly large 1	I had a meal as a guest of the Padre and two other Commandos , in a fairly large dug-out .
fairly obvious 1	The points just made have their imprint on higher education fairly obvious ways .
fairly quickly 1	There 's one or two empty shops , but they appear to be moving fairly quickly and getting taken over .
fairly simple 1	This becomes evident if one considers the goods we encounter in terms of some fairly simple criteria .
fairly soon 1	There is a need for a debate on the privatisation of the electricity industry in Northern Ireland fairly soon .
fairly straightforward 1	The last election for the Labour leadership was fought fairly straightforward left-right lines .
fairy tale 1	NOT SO LONG AGO it seemed that we had very nearly lost our fairy tale beasts .
faith good -1	The detail given in this guide is reproduced in good faith .
faldo nick -1	The 33-year-old 's personal life floundered after his US Masters last April but a professional golfer , he was second only to Nick Faldo .
